Title,Cuisine,Cooking Time (mins),Ingredients,Description
Green Curry,Japanese,73,"Eggplant, zucchini, bell peppers, tomatoes, herbs",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Burrito,West African,42,"Tomatoes, eggs, onions, bell peppers, spices","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Tempura,Italian,42,"Shrimp, lemongrass, lime leaves, chili, broth","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Pizza Margherita,Chinese,102,"Chicken, butter, cream, tomatoes, spices","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Hummus,Indian,116,"Chicken, bell peppers, pineapple, soy sauce",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Borscht,Italian,30,"Noodles, broth, pork, egg, green onions","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Dal Tadka,Indian,88,"Chicken, peanuts, chili peppers, soy sauce","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Pizza Margherita,Middle Eastern,99,"Pasta, tomato sauce, cheese, ground beef, basil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Pelmeni,Middle Eastern,15,"Shrimp, lemongrass, lime leaves, chili, broth","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Tempura,Italian,103,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Egusi Soup,West African,31,"Tomatoes, eggs, onions, bell peppers, spices","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Shakshuka,Chinese,90,"Yam flour, water","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Croissant,Middle Eastern,72,"Chicken, butter, cream, tomatoes, spices","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Hummus,Indian,116,"Coconut milk, green curry paste, chicken, basil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Green Curry,Indian,45,"Tomatoes, eggs, onions, bell peppers, spices","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Croissant,Chinese,34,"Chicken, butter, cream, tomatoes, spices","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Tom Yum Soup,Chinese,26,"Egusi seeds, spinach, stockfish, palm oil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Ramen,Thai,17,"Flour, tomatoes, mozzarella, basil, olive oil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Tom Yum Soup,Indian,59,"Tortilla, beans, rice, cheese, chicken","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Dal Tadka,Indian,99,"Coconut milk, green curry paste, chicken, basil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Hummus,West African,63,"Coconut milk, green curry paste, chicken, basil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Burrito,Mexican,119,"Chicken, butter, cream, tomatoes, spices","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Tom Yum Soup,Japanese,110,"Yam flour, water",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pelmeni,French,16,"Pasta, tomato sauce, cheese, ground beef, basil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Egusi Soup,Russian,58,"Beetroot, cabbage, potatoes, carrots, dill","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Pizza Margherita,Japanese,60,"Yam flour, water","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Dal Tadka,Chinese,15,"Pasta, tomato sauce, cheese, ground beef, basil","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Tempura,Japanese,55,"Shrimp, flour, eggs, tempura sauce","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Pounded Yam,Thai,47,"Beetroot, cabbage, potatoes, carrots, dill","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Tempura,Japanese,69,"Chicken, peanuts, chili peppers, soy sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Green Curry,West African,115,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Ramen,Chinese,92,"Chicken, butter, cream, tomatoes, spices","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Tom Yum Soup,Indian,89,"Beetroot, cabbage, potatoes, carrots, dill","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Pizza Margherita,Russian,85,"Shrimp, lemongrass, lime leaves, chili, broth","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Croissant,Thai,48,"Shrimp, flour, eggs, tempura sauce","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Shakshuka,French,68,"Shrimp, flour, eggs, tempura sauce","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Ratatouille,Indian,21,"Shrimp, lemongrass, lime leaves, chili, broth","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Butter Chicken,Middle Eastern,45,"Chicken, bell peppers, pineapple, soy sauce","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Borscht,Mexican,12,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Dal Tadka,Middle Eastern,95,"Lentils, garlic, tomatoes, cumin, mustard seeds","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Hummus,Thai,97,"Chicken, butter, cream, tomatoes, spices","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Tempura,West African,95,"Chickpeas, tahini, lemon, garlic, olive oil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Tempura,French,105,"Flour, butter, sugar, eggs, yeast","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Burrito,Thai,120,"Ground beef, lettuce, cheese, salsa, tortilla chips","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Croissant,Russian,74,"Noodles, broth, pork, egg, green onions","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Burrito,West African,119,"Flour, butter, sugar, eggs, yeast","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Burrito,Mexican,30,"Lentils, garlic, tomatoes, cumin, mustard seeds","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Pizza Margherita,Middle Eastern,110,"Chicken, butter, cream, tomatoes, spices",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Ramen,West African,29,"Beetroot, cabbage, potatoes, carrots, dill","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Butter Chicken,Indian,28,"Chickpeas, tahini, lemon, garlic, olive oil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Tom Yum Soup,Italian,103,"Pasta, tomato sauce, cheese, ground beef, basil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Pizza Margherita,Italian,109,"Egusi seeds, spinach, stockfish, palm oil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Kung Pao Chicken,Chinese,27,"Ground beef, lettuce, cheese, salsa, tortilla chips","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Tom Yum Soup,French,40,"Flour, tomatoes, mozzarella, basil, olive oil","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Taco Salad,Middle Eastern,89,"Shrimp, lemongrass, lime leaves, chili, broth","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Burrito,Chinese,47,"Flour, butter, sugar, eggs, yeast",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Dal Tadka,Chinese,13,"Flour, butter, sugar, eggs, yeast","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Hummus,Italian,30,"Shrimp, flour, eggs, tempura sauce","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Pounded Yam,Russian,78,"Noodles, broth, pork, egg, green onions","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Borscht,French,87,"Beetroot, cabbage, potatoes, carrots, dill","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Sweet and Sour Chicken,Russian,96,"Coconut milk, green curry paste, chicken, basil","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Burrito,Indian,75,"Tortilla, beans, rice, cheese, chicken","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Kung Pao Chicken,Japanese,61,"Shrimp, flour, eggs, tempura sauce","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Burrito,Chinese,70,"Flour, tomatoes, mozzarella, basil, olive oil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Pizza Margherita,Russian,94,"Flour, butter, sugar, eggs, yeast","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Pizza Margherita,Mexican,66,"Tomatoes, eggs, onions, bell peppers, spices","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Borscht,Italian,95,"Flour, butter, sugar, eggs, yeast","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Sweet and Sour Chicken,Mexican,19,"Chicken, bell peppers, pineapple, soy sauce","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Pounded Yam,West African,89,"Flour, tomatoes, mozzarella, basil, olive oil","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Kung Pao Chicken,Middle Eastern,42,"Ground beef, lettuce, cheese, salsa, tortilla chips","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Shakshuka,West African,51,"Yam flour, water","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Lasagna,Italian,109,"Ground beef, lettuce, cheese, salsa, tortilla chips","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Green Curry,Chinese,10,"Chicken, peanuts, chili peppers, soy sauce","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Borscht,Indian,26,"Beetroot, cabbage, potatoes, carrots, dill","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Burrito,Italian,15,"Shrimp, lemongrass, lime leaves, chili, broth","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Shakshuka,Middle Eastern,54,"Chicken, bell peppers, pineapple, soy sauce","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Pizza Margherita,Russian,78,"Chicken, bell peppers, pineapple, soy sauce","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Egusi Soup,Chinese,72,"Tomatoes, eggs, onions, bell peppers, spices",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Taco Salad,Middle Eastern,50,"Shrimp, lemongrass, lime leaves, chili, broth","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Kung Pao Chicken,Thai,116,"Chickpeas, tahini, lemon, garlic, olive oil",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Ratatouille,Chinese,48,"Shrimp, lemongrass, lime leaves, chili, broth","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Dal Tadka,Japanese,30,"Chicken, bell peppers, pineapple, soy sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Dal Tadka,Mexican,27,"Yam flour, water","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Ramen,Thai,72,"Chicken, butter, cream, tomatoes, spices","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Croissant,Russian,87,"Chicken, bell peppers, pineapple, soy sauce",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pounded Yam,French,76,"Chickpeas, tahini, lemon, garlic, olive oil","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Egusi Soup,Middle Eastern,33,"Egusi seeds, spinach, stockfish, palm oil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Taco Salad,Mexican,94,"Chicken, butter, cream, tomatoes, spices","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Tom Yum Soup,French,98,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
